"","tytuly","rok","dlugosc","imieslow","sie","ze","iz"
"1","Ksw3w","1380","2501","2","28","0","27"
"2","Gn3w","1390","9307","10","137","0","68"
"3","Fl3win","1400","34198","3","702","0","49"
"4","Sul3w","1449","36455","96","329","45","194"
"5","R_XXII_230_3183w","1450","3980","2","52","1","0"
"6","blaz3w","1450","670","4","18","0","1"
"7","BZ3w","1455","139987","301","1942","106","332"
"8","OrtMac3w","1455","35123","19","351","0","261"
"9","OrtOssol3w","1460","36734","31","375","0","270"
"10","Pul3w","1460","37277","5","716","0","158"
"11","dzial3w","1465","14057","87","91","0","114"
"12","piesni3w","1475","18917","17","318","1","59"
"13","MW3w","1482","11665","6","172","0","64"
"14","EwZam3w","1490","5275","40","119","0","36"
"15","Naw3w","1490","6600","8","60","1","19"
"16","ListTat3w","1500","344","1","5","0","2"
"17","Rozm2u","1510","113743","779","1924","0","1382"
"18","BierRaj","1513","3163","0","0","0","0"
"19","Koszyczek+Marcholt","1521","5808","23","95","1","25"
"20","ForCnR","1524","5083","34","101","2","34"
"21","Murm","1528","33728","0","14","3","0"
"22","Wrobel+Zoltarz","1528","10066","14","194","0","71"
"23","KlerPow","1530","752","0","12","2","1"
"24","BG-Kpl","1532","18708","31","265","12","1"
"25","BartBydg","1532","23899","1","0","0","0"
"26","Spiczynski+Modlitwa","1533","6786","28","99","26","13"
"27","TarDuch","1533","8557","21","386","4","4"
"28","Falimirz+O-ziolach","1534","10105","83","49","0","16"
"29","Bielski+zywoty","1535","27843","90","637","129","97"
"30","Glaber+Gadki","1535","10297","13","235","5","93"
"31","BierRozm","1536","2972","6","83","2","16"
"32","KlerWes","1539","785","0","22","8","3"
"33","Jan+Poncjan","1540","10705","111","176","2","142"
"34","Anon+Ksiegi","1542","11207","21","254","79","79"
"35","LudWies","1544","2243","4","53","1","5"
"36","Ps-Laski+Napomnienie","1545","7925","8","156","40","54"
"37","MrowPies","1556","530","0","1","1","2"
"38","BielKom","1557","11434","13","284","2","38"
"39","GliczKsiaz","1558","37564","2","1004","186","271"
"40","Wojciech+Rycerstwo","1558","10125","28","190","1","123"
"41","Leop1","1561","32874","34","536","154","31"
"42","Leop2","1561","35744","16","551","165","51"
"43","Leop3","1561","33355","4","700","73","51"
"44","Leop4","1561","50528","86","953","220","150"
"45","OrzList","1561","8116","14","123","19","81"
"46","UstPraw","1561","23902","69","174","8","156"
"47","LeszczRzecz","1562","1688","3","18","10","2"
"48","WyprKr","1562","6446","0","0","1","0"
"49","OrzRozm","1563","33152","48","380","176","59"
"50","SienLek","1564","24221","77","191","17","102"
"51","Bielski+Sejm","1565","7813","33","156","5","26"
"52","LeovPrzep","1565","8265","3","129","43","21"
"53","BialKat","1567","28563","49","338","96","218"
"54","BielSat","1567","9666","31","217","3","33"
"55","HistLan","1568","11276","48","228","29","93"
"56","Rej_Zywot","1568","9720","31","301","12","86"
"57","BielSpr","1569","34064","186","610","5","200"
"58","Postepek","1570","26264","61","531","13","190"
"59","WujJud-1","1570","39088","54","511","339","91"
"60","WujJud-2","1570","40433","55","478","364","66"
"61","WujJud","1570","79539","109","988","703","156"
"62","RejPosWstaw","1571","16379","42","301","120","44"
"63","HistHel","1572","5117","34","85","7","31"
"64","MycPrz","1573","10421","30","260","62","30"
"65","Strum","1573","18145","73","267","123","15"
"66","WierKroc","1573","2777","10","76","16","13"
"67","KochOdpr","1578","4944","7","70","37","3"
"68","Oczko","1578","26994","221","432","196","134"
"69","NiemObr","1583","58074","218","1242","14","626"
"70","KochFr","1584","15044","50","257","62","11"
"71","Wujek+Poczecie","1584","4470","10","66","39","10"
"72","KlonZal","1585","5020","6","96","4","3"
"73","KochMRot","1585","2399","1","39","2","0"
"74","ReszPrz","1585","32148","61","482","65","258"
"75","WerKaz","1585","5128","8","93","12","35"
"76","WisznTr","1585","5490","16","150","8","14"
"77","BielSen","1586","3394","3","63","6","6"
"78","BielSjem","1586","7395","31","152","2","26"
"79","PudlFr","1586","12597","19","269","36","63"
"80","BielRozm","1587","6431","17","151","2","26"
"81","KmitaPsal","1587","1392","0","13","1","3"
"82","Calep","1588","67293","23","530","2","0"
"83","GrochKal","1588","3105","8","35","5","3"
"84","Phil","1588","16678","87","320","105","52"
"85","OrzJan","1590","22453","66","414","200","69"
"86","OstrEpit","1590","1028","2","12","4","0"
"87","WyprPl","1590","3789","5","107","15","4"
"88","LatHar","1592","111033","267","1866","134","224"
"89","KolakCath","1593","3949","16","55","2","8"
"90","KolakSzczesl","1593","4591","8","64","13","13"
"91","RybGesli","1593","5192","12","87","17","2"
"92","WysKaz","1593","13832","32","218","134","84"
"93","SiebRozmysl","1594","13205","96","230","27","50"
"94","WitoslLut","1594","2030","3","30","3","2"
"95","KlonKr","1595","5023","38","60","4","1"
"96","KmitaSpit","1595","6534","18","107","14","14"
"97","PowodPr","1595","26612","69","503","22","245"
"98","CzahTr","1597","16061","45","293","73","18"
"99","GoslCast","1597","16511","35","279","23","45"
"100","SkorWinsz","1598","676","2","10","1","0"
"101","SapEpit","1599","2745","0","51","1","2"
"102","Klonowic_Dworstwo","1600","6921","45","177","6","18"
"103","RybWit","1600","904","2","11","2","1"
"104","ZbylPrzyg","1600","3594","2","93","7","2"
"105","WierszForBad","1601","5554","12","153","20","11"
"106","ZloteJarzmo","1601","9886","45","144","99","12"
"107","DorHip","1603","53147","386","825","180","133"
"108","PaxUlis","1603","9032","50","215","14","44"
"109","PrzewKos","1603","7297","18","45","16","2"
"110","TorRoz","1603","14556","71","342","133","16"
"111","WaezList","1603","6657","31","138","87","22"
"112","BiallozorList","1605","2546","21","53","9","22"
"113","GladBarwBad","1605","1223","10","17","1","3"
"114","KraDzien","1605","9652","18","123","18","19"
"115","MowaZamojCz_II","1605","2964","3","69","25","7"
"116","NowinyInfl","1605","1546","17","31","6","1"
"117","CollatioCz_III","1606","6454","20","114","42","6"
"118","CompNaprCz_III","1606","1010","2","13","5","5"
"119","ConsTryumfCz_III","1606","375","1","6","3","3"
"120","DecPerorCz_III","1606","3604","15","85","12","9"
"121","DefRokCz_II","1606","972","2","22","7","2"
"122","DeklPisCz_II","1606","5073","13","84","64","8"
"123","DyskRokCz_II","1606","4239","20","72","36","15"
"124","DyskSzlachCz_II","1606","2229","3","46","13","4"
"125","DyskZacCz_II","1606","12603","42","336","99","12"
"126","HerburtStrzalaCz_II","1606","2248","17","41","9","4"
"127","JezuitRespCz_III","1606","4378","8","83","54","3"
"128","KonczRokCz_III","1606","382","4","11","9","0"
"129","KrysPasCz_II","1606","1584","14","36","2","5"
"130","LibResCz_II","1606","3781","0","54","26","10"
"131","LibRokCz_II","1606","237","0","2","2","2"
"132","ListBisCz_II","1606","1000","0","28","6","2"
"133","MarszWojCz_II","1606","2314","14","53","32","7"
"134","MowaKoprzCz_II","1606","2076","6","30","10","1"
"135","OpisDostCz_III","1606","9109","48","219","111","16"
"136","OpisPrawCz_III","1606","3119","18","69","50","11"
"137","PismoPotwarzCz_II","1606","3554","10","49","28","9"
"138","PrakStezCz_II","1606","946","8","16","6","6"
"139","PrzestSposCz_II","1606","3337","15","59","16","15"
"140","ReskryptSzlachCz_II","1606","4796","11","74","35","3"
"141","RespDuchCzII","1606","2732","2","69","23","1"
"142","RewerListCzII","1606","6313","5","135","32","2"
"143","RozRokCz_II","1606","12221","48","332","163","7"
"144","RzeczyNapCz_II","1606","2141","12","34","6","5"
"145","SkarArtykulCz_III","1606","7320","6","148","0","33"
"146","SkarRokCz_II","1606","1526","13","22","11","2"
"147","SkryptSluszCz_II","1606","2283","8","53","35","1"
"148","SkryptWojCz_II","1606","9875","28","183","90","58"
"149","SposPodCz_II","1606","3059","6","52","6","1"
"150","UmKamGeb","1606","913","0","8","1","3"
"151","VotKatCz_II","1606","2215","6","51","22","4"
"152","VotSejmCz_II","1606","3655","20","62","30","9"
"153","VotSzlachCz_II","1606","1940","13","33","20","1"
"154","VotumCz_II","1606","539","2","3","2","1"
"155","WotKazCz_II","1606","3891","4","73","31","11"
"156","ZdanieSzlachCz_II","1606","2342","7","48","12","2"
"157","ZebrzCredensCz_III","1606","3517","24","73","35","28"
"158","ZebrzMyszkZatargCzII","1606","10305","47","181","106","27"
"159","ZebrzSkryptCz_III","1606","2910","11","54","23","19"
"160","ZniesKalCz_II","1606","10132","20","205","161","10"
"161","BazylAntidotCz_III","1607","2536","10","49","15","1"
"162","BazylCz_III","1607","515","1","18","2","3"
"163","DictCalCz_II","1607","188","0","1","0","0"
"164","GenRevCz_III","1607","3082","23","79","16","1"
"165","List1KontrybCz_III","1607","1102","2","31","7","1"
"166","List2KontrybCz_III","1607","1600","0","54","15","10"
"167","List3KontrybCz_III","1607","845","4","16","11","1"
"168","MyszkZdanieCz_III","1607","1581","5","37","16","1"
"169","ObjasPrerogCz_III","1607","1677","9","25","9","5"
"170","ObmowPrymasCz_III","1607","353","0","3","5","0"
"171","OstrowPismoCz_III","1607","451","3","14","2","1"
"172","PekosRytwCz_II","1607","753","0","5","3","0"
"173","PekosSkryptCz_III","1607","2058","10","52","16","1"
"174","PienHip","1607","6506","40","131","16","4"
"175","PokNiewinCz_III","1607","3151","21","70","25","9"
"176","PrzestPotrzCz_II","1607","3746","13","111","28","3"
"177","PrzyczKonwCz_III","1607","764","3","26","4","0"
"178","RepRespCz_III","1607","1317","7","31","2","9"
"179","RespWizCz_III","1607","2355","6","42","19","2"
"180","RokJak_Cz_III","1607","4823","22","84","26","17"
"181","RozSynCz_II","1607","3573","17","68","25","2"
"182","TrabaRuszCz_III","1607","839","3","21","12","0"
"183","WizPostCz_III","1607","968","4","23","8","0"
"184","WsiadRokCz_II","1607","1178","0","35","12","1"
"185","ZebrzApolCz_III","1607","17229","62","369","197","11"
"186","CenzProgCz_III","1608","4658","18","108","41","20"
"187","CezWargFranc","1608","72195","726","1537","528","275"
"188","GrochWirydarz","1608","7246","15","136","19","7"
"189","HerbutPunktaCz_III","1608","1094","0","26","6","2"
"190","VerdBlazSet","1608","19158","110","577","202","90"
"191","ZdanieUspokCz_III","1608","648","3","19","6","2"
"192","BotLeczRel_III","1609","76391","135","1315","59","647"
"193","BotLeczRel_II","1609","43107","65","762","24","311"
"194","BotLeczRel_IV","1609","85628","318","1670","95","657"
"195","BotLeczRel_V","1609","34662","93","688","50","251"
"196","KoniecATest","1609","3678","5","67","14","0"
"197","MirJon","1609","9155","18","183","70","6"
"198","PiesnSzuj","1609","634","6","12","5","1"
"199","WitkWol","1609","11576","21","151","29","20"
"200","BielDiar","1610","10496","60","202","89","16"
"201","BreyWargPereg","1610","27690","162","425","172","83"
"202","JudCerem","1610","4732","33","58","34","0"
"203","RozAPam","1610","22519","115","479","57","8"
"204","SmotLam","1610","43517","135","679","184","100"
"205","DzwonStatColumb","1611","3658","4","110","13","3"
"206","OzimSzturm","1611","2100","12","25","7","10"
"207","SynMinKontr","1611","8308","17","205","62","6"
"208","MiasKZbior","1612","59486","308","485","313","8"
"209","MilJObKoniec","1612","1362","7","22","2","15"
"210","RozOff","1612","16078","26","202","24","48"
"211","SkarMes","1612","25065","49","526","369","74"
"212","SumKoniec","1612","286","2","2","0","2"
"213","VolcDial","1612","25259","16","560","131","9"
"214","ZwierPrzyklad","1612","111607","945","2493","432","826"
"215","PasZol","1613","3834","39","49","20","8"
"216","PetrSInst","1613","10498","59","252","9","37"
"217","RamMKolKontr","1613","1701","2","42","5","2"
"218","SyrZiel","1613","153937","816","1017","257","67"
"219","BudnyBPow","1614","41999","247","953","363","246"
"220","CesPiel","1614","13932","21","138","51","12"
"221","FraszSow","1614","5730","18","124","26","4"
"222","NowTor","1614","1560","6","31","18","0"
"223","OstrorNauka","1614","9120","65","196","80","19"
"224","SplnZabMlot","1614","89357","422","1906","714","578"
"225","WierszZalBad","1614","1249","2","19","6","2"
"226","WodGorzBad","1614","2326","6","31","11","17"
"227","ZabKalBar_I","1614","1118","3","31","9","0"
"228","ApenZawKontr","1615","1648","6","30","14","1"
"229","ChabSpos","1615","5372","19","108","31","4"
"230","FraszNow","1615","9672","29","205","52","8"
"231","KlejSanGeb","1615","1374","0","1","0","0"
"232","KomRyb","1615","3416","12","68","7","2"
"233","KunWOb","1615","679","5","4","6","0"
"234","Akta_Pozn_I","1616","107984","343","1990","685","246"
"235","ZabPol","1616","1541","0","20","0","0"
"236","CzyzAlf","1617","24979","111","464","9","248"
"237","SejmBialBad","1617","4899","11","142","14","10"
"238","SykstCiepl","1617","51593","127","1172","456","237"
"239","OstrorMysl","1618","12874","68","279","115","21"
"240","PetrSEt","1618","20111","21","509","33","246"
"241","RysProv","1618","15789","34","315","14","4"
"242","TasKochGoff","1618","17507","44","380","87","17"
"243","TwarKLodz","1618","6664","19","96","11","2"
"244","WychWies","1618","4951","11","109","27","7"
"245","ZedzKom","1618","5384","15","113","43","20"
"246","BemKom","1619","16959","34","411","7","191"
"247","ErZrzenAnKontr","1619","6497","16","108","40","19"
"248","NajmProg","1619","7579","19","182","103","7"
"249","RybMKat","1619","10461","14","162","13","95"
"250","ArKochOrlCz_III","1620","85765","476","1361","138","649"
"251","ArKochOrlCz_II","1620","239967","986","4530","1675","1019"
"252","ArKochOrlCz_I","1620","50958","126","1052","657","24"
"253","HabLisKontr","1620","732","1","13","4","1"
"254","JewPriv_II_Pil","1620","764","1","12","3","1"
"255","ZimBLisBad","1620","1281","9","22","2","0"
"256","ZrzenNowiny","1620","7957","48","154","34","5"
"257","DachDialOkon","1621","1967","2","19","5","1"
"258","JagDworz","1621","7244","11","115","59","10"
"259","PaszkMrChor","1621","1281","7","17","2","1"
"260","PosWol","1621","1886","13","40","30","0"
"261","RelWej","1621","3457","25","92","31","6"
"262","ZbigAdw","1621","5932","35","134","47","11"
"263","ArciszLamBar_Inormalized","1622","2770","6","40","17","3"
"264","GostSpos","1622","16569","41","174","84","40"
"265","SejmPiek","1622","13089","23","328","71","14"
"266","SulListyKoniec","1622","1363","20","20","18","1"
"267","BirkOboz","1623","23147","39","314","34","101"
